Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_theta,nr_pairs_,nr_steps_,linear_stddev,angular_stddev,lambda,final_inflation
RL,8,0.8817339479452053,-0.0019820298511131506,0.5821241140365601,10.39035960075715,0.39326335488726016,1,0.6679392756364465,0.0706003986632081,1.9623892307281494,2.925494909286499,431,21,0.15766724944114685,0.16312575340270996,0.02199999988079071,0.5821241140365601
RL,9,0.6679392756364465,0.0706003986632081,0.12317334115505219,10.070484070119011,0.31987553063813934,1,0.4844395174274698,0.004874925860216824,2.343064308166504,2.779938220977783,748,20,0.14445720613002777,0.13872826099395752,0.02199999988079071,0.12317334115505219
RL,10,0.4844395174274698,0.004874925860216824,0.5772578120231628,9.88128217425827,0.18920189586074088,1,0.27942703680007625,0.04031594725631717,1.9992419481277466,3.141923427581787,347,21,0.04498554766178131,0.030521459877490997,0.02199999988079071,0.5772578120231628
RL,11,0.20698977298334917,0.4748528447434858,0.47098201513290405,9.664182962513914,0.08576484978928534,1,0.16755563393046527,1.3527015733950112,1.333959937095642,2.901658058166504,429,34,0.10284478217363358,0.06940307468175888,0.02199999988079071,0.47098201513290405
RL,12,0.7737001967994099,-0.11671580040129002,0.5139097571372986,9.474712110838851,0.04268497168995644,0,0.6574121993151177,-0.15441443238715993,1.937462568283081,3.2433292865753174,425,19,0.16453251242637634,0.15033680200576782,0.02199999988079071,0.5139097571372986
RL,13,0.723464022954541,-0.7099696216818809,0.11857159435749054,9.10910799407333,0.2768257094143216,1,1.0195278605828417,-1.171511542691165,1.872594952583313,3.127923011779785,513,20,0.053128160536289215,0.01774388551712036,0.02199999988079071,0.11857159435749054
RL,14,1.0195278605828417,-1.171511542691165,0.19641943275928497,8.482254906418571,0.6268530876547587,1,1.3345477069946534,-0.7078613621199563,2.416651964187622,1.32286536693573,694,19,0.05127323418855667,0.12130357325077057,0.02199999988079071,0.19641943275928497
RL,15,1.3345477069946534,-0.7078613621199563,0.22709034383296967,7.776420392019315,0.7058345143992568,1,1.3035964848873827,-0.008276032301959406,2.051131010055542,2.748734474182129,400,19,0.059347573667764664,0.13653168082237244,0.02199999988079071,0.22709034383296967
RL,16,1.3035964848873827,-0.008276032301959406,0.2697192132472992,7.111788221147951,0.6646321708713634,1,1.2368653613401746,-0.017903279654640062,2.25553560256958,3.3387889862060547,391,19,0.15082859992980957,0.027499094605445862,0.02199999988079071,0.2697192132472992
RL,17,1.2368653613401746,-0.017903279654640062,0.5983242988586426,6.565012670934785,0.5467755502131659,1,0.9697842961757215,0.033914098050072464,1.6981439590454102,3.291965961456299,391,19,0.13724149763584137,0.14169129729270935,0.02199999988079071,0.5983242988586426
RL,18,0.9697842961757215,0.033914098050072464,0.5226852297782898,5.936329754031285,0.6286829169035002,1,1.245813712393856,0.0034735317405637173,2.1203527450561523,2.9355616569519043,408,19,0.13233913481235504,0.16704607009887695,0.02199999988079071,0.5226852297782898
RL,19,1.245813712393856,0.0034735317405637173,0.5726103782653809,5.297424316742472,0.6389054372888134,1,1.273642400870681,-0.049634201239122766,2.341330051422119,3.39060115814209,415,19,0.13656434416770935,0.13536876440048218,0.02199999988079071,0.5726103782653809
RL,20,1.273642400870681,-0.049634201239122766,0.5924274921417236,4.666766699970865,0.6306576167716065,1,1.2511143885752243,-0.0943162592257429,2.043405532836914,3.065284252166748,419,20,0.15695126354694366,0.15544673800468445,0.02199999988079071,0.5924274921417236
RL,0,5.444010749755514e-07,0.004110549452874097,0.5966448783874512,14.54750852416718,0.45240867683667574,1,1.0794614704717171,0.1444241564313125,2.1327435970306396,3.106785297393799,431,20,0.16072264313697815,0.1389446258544922,0.02199999988079071,0.5966448783874512
RL,1,1.0794614704717171,0.1444241564313125,0.615628719329834,13.944232887162046,0.6032756370051331,1,1.0449949928610773,0.06637431457928103,1.805160403251648,3.1058154106140137,411,22,0.1420208215713501,0.14698787033557892,0.02199999988079071,0.615628719329834
RL,2,1.0449949928610773,0.06637431457928103,0.5699032545089722,13.326390336999761,0.6178425501622851,1,1.1894779479000537,0.007603151684474289,2.0402588844299316,2.782196521759033,348,20,0.1535666584968567,0.16640478372573853,0.02199999988079071,0.5699032545089722
RL,3,1.1894779479000537,0.007603151684474289,0.6862313747406006,12.691874435992593,0.6345159010071679,1,1.2113384321847709,-0.14513493225340052,1.9780998229980469,3.149068832397461,380,18,0.14728857576847076,0.15626934170722961,0.02199999988079071,0.6862313747406006
RL,4,1.2113384321847709,-0.14513493225340052,0.6344399452209473,12.073271490295033,0.6186029456975604,1,1.0918439392183383,-0.31037279144093277,1.8962335586547852,2.8526883125305176,430,20,0.15613915026187897,0.15169766545295715,0.02199999988079071,0.6344399452209473
RL,5,1.0918439392183383,-0.31037279144093277,0.6114739179611206,11.41531109154906,0.6579603987459723,1,1.1357958926880158,-0.5029247620395457,2.1552445888519287,3.099130630493164,383,18,0.1542307585477829,0.15303748846054077,0.02199999988079071,0.6114739179611206
RL,6,1.1357958926880158,-0.5029247620395457,0.49160218238830566,10.81555560794726,0.5997554836018004,1,0.9567312499420849,0.06199088194415625,1.981459617614746,3.2221274375915527,417,21,0.056283727288246155,0.13606570661067963,0.02199999988079071,0.49160218238830566
RL,7,0.9567312499420849,0.06199088194415625,0.6242446899414062,10.384540130164897,0.4310154777823634,1,0.6839811164033062,0.11076029270583153,2.075953960418701,3.141475200653076,401,20,0.1431366205215454,0.1646973043680191,0.02199999988079071,0.6242446899414062
RL,8,0.6839811164033062,0.11076029270583153,0.15233764052391052,10.066537918087377,0.3180022120775199,1,0.47933528266829983,0.44345632011671515,2.0749621391296387,2.15815806388855,585,21,0.15232178568840027,0.13840343058109283,0.02199999988079071,0.15233764052391052
RL,9,0.47933528266829983,0.44345632011671515,0.6137683391571045,9.898237847536857,0.16830007055052043,1,0.16874069434925054,0.01017464896936578,1.8904051780700684,2.8796868324279785,465,38,0.1583022028207779,0.14870013296604156,0.02199999988079071,0.6137683391571045
RL,10,0.16874069434925054,0.01017464896936578,0.543860673904419,9.914593264987296,-0.016355417450439447,0,-0.09129194136351508,0.008867639188453657,-0.3516455888748169,3.582538604736328,356,40,0.1407463401556015,0.05452531576156616,0.02199999988079071,0.543860673904419
RL,11,-0.09129194136351508,0.008867639188453657,0.5693991184234619,9.95817853052427,-0.04358526553697395,0,-0.08529057564449628,-0.09368040347154687,-0.35107195377349854,3.2344045639038086,438,40,0.15565598011016846,0.040837597101926804,0.02199999988079071,0.5693991184234619
